id,title,company,level,required_skills,nice_to_have,years_experience,salary_range
jd_0129,Senior SDE,DawnByte Inc.,Senior,"Python, FastAPI, PostgreSQL, Redis, Docker, Git, REST APIs, TDD, Java, SQL","Elasticsearch, React, TypeScript, OpenTelemetry",6,"$135,000 - $165,000"
jd_0130,Quantitative Analyst,RapidScale Inc.,Mid,"Python, SQL, Databricks, Spark, Delta Lake, Statistics, Pandas, Tableau, BigQuery","Looker, Tableau Server, Metabase, Redash",4,"$92,000 - $118,000"
jd_0131,Senior AI Engineer,Meridian Analytics,Senior,"Python, Graph Neural Networks, PyTorch Geometric, NetworkX, Feature Engineering, SQL, Docker, Git, CUDA, Distributed Training","Model Monitoring, Evidently, Data Drift",8,"$130,000 - $160,000"
jd_0132,Associate Data Scientist,ClearPath AI,Junior,"Python, SQL, Pandas, NumPy, Looker, Statistics, A/B Testing, Jupyter, ggplot2, R","Plotly Dash, Bokeh, Streamlit, R Shiny, Interactive Dashboards",1,"$65,000 - $85,000"
jd_0133,Staff ML Engineer,KernelOps,Senior,"Python, Reinforcement Learning, PyTorch, OpenAI Gym, Distributed Training, Linux, Git, MLOps","Pinecone, Milvus, LlamaIndex, Semantic Search, Weaviate",6,"$140,000 - $170,000"
jd_0134,Head of Engineering,AlphaStack Corp,Lead,"React, Next.js, TypeScript, PostgreSQL, GraphQL, Docker, Git","GraphQL Federation, PWA, WebAssembly",10,"$160,000 - $200,000"
jd_0135,Junior Full Stack Developer,ClearPath AI,Junior,"Vue.js, Express, JavaScript, MongoDB, REST APIs, Docker, Git, HTML/CSS, Lambda","Contract Testing, tRPC, API Design",1,"$62,000 - $82,000"
jd_0136,Product Engineer,NeuralPath Inc.,Mid,"React, Ruby on Rails, PostgreSQL, Redis, Sidekiq, Docker, Git, REST APIs, FastAPI","Datadog, OpenTelemetry, Monitoring, Logging, Sentry",3,"$88,000 - $112,000"
jd_0137,Entry-Level Data Scientist,Stellar Innovations,Junior,"Python, SQL, Pandas, Classification, Clustering, Scikit-learn, Statistics, Power BI, Risk Modeling","Bayesian Modeling, MCMC, Stan, Probabilistic Programming",0,"$68,000 - $88,000"
jd_0138,Analytics Scientist,BetaOps Inc.,Mid,"Python, SQL, Pandas, Matplotlib, Seaborn, Statistics, Excel","Delta Lake, Databricks, Spark MLlib, Feature Store, MLflow",3,"$95,000 - $120,000"
jd_0139,Associate SDE,MangoSoft,Junior,"Java, Python, Data Structures, Algorithms, System Design, REST APIs, Git","Kotlin, Ktor, OpenTelemetry, Protocol Buffers",2,"$64,000 - $84,000"
jd_0140,Senior Platform Engineer,QuantumLeap Tech,Senior,"Azure, Terraform, Azure Functions, Event Grid, Service Bus, Python, Docker","Nginx, Load Balancing, Envoy, Linkerd",7,"$130,000 - $160,000"
jd_0141,Senior Data Scientist,ClearPath AI,Senior,"Python, SQL, Pandas, Time Series Analysis, Forecasting, Tableau, Statistics","Interactive Dashboards, Bokeh, Plotly Dash, R Shiny",6,"$130,000 - $160,000"
jd_0142,Research Analyst,ClearPath AI,Mid,"Python, SQL, Pandas, NumPy, Looker, Statistics, A/B Testing, Jupyter, Git","Community Detection, Link Prediction, NetworkX",5,"$90,000 - $115,000"
jd_0143,Senior SRE,RiftData Labs,Senior,"AWS, ECS, Fargate, Terraform, Docker, Python, CI/CD, Networking","Linkerd, Traffic Management, Load Balancing",7,"$140,000 - $170,000"
jd_0144,DevOps Engineer,HorizonTech,Mid,"AWS, CDK, EKS, Docker, Linux, Python, CloudFormation, CI/CD, Terraform","Kyverno, Policy as Code, Admission Controllers, OPA, RBAC",5,"$97,000 - $122,000"
jd_0145,Junior Data Scientist,Quantum Dynamics,Junior,"Python, SQL, Spark, BigQuery, Tableau, Statistics, A/B Testing","Feature Store, Delta Lake, MLflow",0,"$64,000 - $84,000"
jd_0146,Principal Full Stack Engineer,Quantum Dynamics,Lead,"React, Golang, PostgreSQL, gRPC, Docker, Kubernetes, Git","Sentry, Logging, Monitoring, Datadog",9,"$160,000 - $200,000"
jd_0147,Senior AI Engineer,NeuralPath Inc.,Senior,"Python, Recommendation Systems, Collaborative Filtering, Spark, SQL, MLOps, Docker, Redis, Statistics, Causal Inference","Memory Optimization, Profiling, Latency Reduction, SIMD",6,"$138,000 - $168,000"
jd_0148,Tech Lead (Full Stack),LightSpeed Dev,Senior,"Vue.js, Laravel, PHP, MySQL, REST APIs, Docker, Git, CI/CD, React","Performance Optimization, Cypress, Playwright, Accessibility, Storybook",8,"$140,000 - $170,000"
jd_0149,Senior Research Scientist,QuantumLeap Tech,Senior,"Python, SQL, Databricks, Spark, Delta Lake, Statistics","Community Detection, Neo4j, NetworkX, Graph Analytics, Link Prediction",5,"$135,000 - $165,000"
jd_0150,Frontend + Backend Lead,Tandem Systems,Lead,"React, Node.js, GraphQL, MongoDB, Redis, AWS, Docker, Git","Storybook, Performance Optimization, Cypress, Playwright",9,"$175,000 - $215,000"
jd_0151,Backend Engineer,MangoSoft,Mid,"Python, C++, Algorithm Design, Data Structures, System Design, Linux, Git","Kotlin, DDD, Event Sourcing, CQRS",4,"$97,000 - $122,000"
jd_0152,Applied Data Scientist,PulseDev Corp,Mid,"Python, SQL, SciPy, Pandas, Matplotlib, Regression Analysis, Statistics, Excel","Probabilistic Programming, MCMC, PyMC",4,"$97,000 - $122,000"
jd_0153,Software Developer,UltraML Corp,Mid,"C++, Go, Microservices, Kubernetes, Docker, PostgreSQL, System Design, Agile, Node.js","eBPF, Chaos Engineering, gRPC, Service Mesh, Rust",5,"$100,000 - $125,000"
jd_0154,Software Engineer (Full Stack),Stratus Systems,Mid,"Vue.js, Laravel, PHP, MySQL, REST APIs, Docker, Git, CI/CD","OpenAPI, Contract Testing, tRPC, API Design",3,"$100,000 - $125,000"
jd_0155,Senior Full Stack Engineer,HorizonTech,Senior,"React, Node.js, TypeScript, PostgreSQL, REST APIs, Docker, Git, CSS, Celery","Contract Testing, OpenAPI, API Design, tRPC",7,"$132,000 - $162,000"
jd_0156,Principal Engineer,FusionTech Systems,Senior,"Python, C++, Algorithm Design, Data Structures, System Design, Linux, Git, Code Review, Jest","Redis Streams, Schema Registry, Confluent",6,"$140,000 - $170,000"
jd_0157,Lead Analyst,JetStream Analytics,Senior,"Python, SQL, Spark, BigQuery, Tableau, Statistics, A/B Testing","Plotly Dash, Bokeh, Streamlit, Interactive Dashboards, R Shiny",8,"$128,000 - $158,000"
jd_0158,Lead Software Engineer,XcelCloud,Lead,"Rust, Systems Programming, WebAssembly, Linux, Git, Performance Optimization, REST APIs, Docker, Kafka","gRPC streaming, DuckDB, Go, WebSockets, Apache Arrow",8,"$168,000 - $208,000"
jd_0159,Principal Engineer,RiftData Labs,Senior,"Kotlin, Java, Android SDK, REST APIs, Git, Unit Testing, Agile, CI/CD","Apache Arrow, Go, WebSockets, gRPC streaming, DuckDB",7,"$130,000 - $160,000"
jd_0160,Site Reliability Engineer,JetStream Analytics,Mid,"AWS, CDK, EKS, Docker, Linux, Python, CloudFormation, CI/CD","Secrets Management, Vault, Service Discovery",3,"$92,000 - $118,000"
jd_0161,Full Stack Tech Lead,PulseDev Corp,Lead,"React, Node.js, Socket.io, MongoDB, Redis, Docker, Git","Three.js, Canvas API, Data Visualization, D3.js, SVG",10,"$168,000 - $208,000"
jd_0162,Software Developer,DeepSight Labs,Mid,"Python, FastAPI, PostgreSQL, Redis, Docker, Git, REST APIs","Apache Avro, Confluent, ksqlDB, Schema Registry, Redis Streams",3,"$97,000 - $122,000"
jd_0163,Platform Engineer,LightSpeed Dev,Mid,"Python, Django, Celery, Redis, PostgreSQL, Docker, REST APIs","eBPF, Rust, gRPC, Chaos Engineering, Service Mesh",3,"$92,000 - $118,000"
jd_0164,Staff Cloud Engineer,RapidScale Inc.,Senior,"Kubernetes, Helm, Terraform, AWS, Docker, Linux, Python, Monitoring","SLIs, Error Budgets, Chaos Engineering",7,"$140,000 - $170,000"
jd_0165,Associate Data Scientist,HexaData Corp,Junior,"Python, SQL, Pandas, Time Series Analysis, Forecasting, Tableau, Statistics, Jupyter","Dashboard Automation, Redash, Metabase",0,"$64,000 - $84,000"
jd_0166,Staff ML Engineer,IronForge Tech,Senior,"Python, Model Serving, TorchServe, ONNX, Triton, Kubernetes, Docker, REST APIs, CNNs, Computer Vision","TPU Programming, JAX, XLA, Distributed Training",8,"$132,000 - $162,000"
jd_0167,Machine Learning Developer,CoreLogic Labs,Mid,"Python, A/B Testing, Causal Inference, Statistics, SQL, Pandas","Stan, PyMC, R",4,"$90,000 - $115,000"
jd_0168,Data Analyst (Scientist Track),WaveLogic Labs,Junior,"Python, SQL, Pandas, Monte Carlo Simulation, Statistics, Excel, Risk Modeling, Jupyter","Computer Vision, TensorFlow, Neural Networks, PyTorch, Deep Learning",2,"$66,000 - $86,000"
jd_0169,Entry-Level ML Developer,HorizonTech,Junior,"Python, AutoML, NAS, Hyperparameter Tuning, MLflow, Scikit-learn, SQL, Docker, Airflow","JAX, Julia, XLA, Distributed Training, TPU Programming",2,"$66,000 - $86,000"
jd_0170,ML Engineer,OceanTech,Mid,"Python, Graph Neural Networks, PyTorch Geometric, NetworkX, Feature Engineering, SQL, Docker, Git, MLOps, Speech Recognition","Grafana, Data Drift, Model Monitoring",3,"$100,000 - $125,000"
jd_0171,Research Analyst,AlphaStack Corp,Mid,"Python, SQL, Statsmodels, Seaborn, Jupyter, Experiment Design, Pandas, Storytelling","Ensemble Methods, Stacking, CatBoost",3,"$88,000 - $112,000"
jd_0172,Senior Software Engineer,DeepSight Labs,Senior,"C++, Multithreading, System Programming, Linux, CMake, Git, Performance Optimization, REST APIs","AWS, Terraform, GraphQL, Prometheus",6,"$132,000 - $162,000"
jd_0173,Site Reliability Engineer,DataNexus Corp,Mid,"GCP, Terraform, GKE, Docker, Linux, Python, Networking, Security, BigQuery","AMI, CIS Benchmarks, Image Hardening",3,"$90,000 - $115,000"
jd_0174,Senior Software Engineer,RiftData Labs,Senior,"Java, Python, Data Structures, Algorithms, System Design, REST APIs, Git","GraphQL, Terraform, Grafana",6,"$130,000 - $160,000"
jd_0175,Lead Analyst,Velocity Software,Senior,"Python, SQL, Pandas, NumPy, Statistics, Tableau, Jupyter, A/B Testing, Storytelling","Community Detection, NetworkX, Graph Analytics, Link Prediction",7,"$138,000 - $168,000"
jd_0176,AI Platform Lead,Quantum Dynamics,Lead,"Python, Speech Recognition, Whisper, PyTorch, Audio Processing, MLOps, Docker","Data Drift, Grafana, Evidently, Prometheus",10,"$165,000 - $205,000"
jd_0177,Backend Engineer,MeshCloud Inc.,Mid,"Java, Python, Data Structures, Algorithms, System Design, REST APIs, Git, CI/CD, Kubernetes, Agile","Service Mesh, eBPF, gRPC, Chaos Engineering",3,"$95,000 - $120,000"
jd_0178,Associate AI Engineer,Apex Cloud Inc.,Junior,"Python, PyTorch, Computer Vision, OpenCV, CNNs, MLOps, Docker, REST APIs, MLflow","Model Monitoring, Prometheus, Grafana",2,"$60,000 - $80,000"
jd_0179,Senior Full Stack Developer,KeystoneAI,Senior,"React, Node.js, GraphQL, MongoDB, Redis, AWS, Docker","AWS CDK, GitOps, Infrastructure as Code, Terraform, CI/CD",8,"$132,000 - $162,000"
jd_0180,Head of Platform Engineering,KernelOps,Lead,"AWS, ECS, Fargate, Terraform, Docker, Python, CI/CD, Networking","Vault, Secrets Management, Nomad",10,"$160,000 - $200,000"
jd_0181,Software Engineer (Full Stack),Apex Cloud Inc.,Mid,"React, Python, Flask, PostgreSQL, Celery, Docker","SWR, React Query, Zustand, State Management, Jotai",3,"$95,000 - $120,000"
jd_0182,Full Stack Engineer,EdgeCloud Tech,Mid,"React, Django, Python, PostgreSQL, Celery, Redis, Docker, Git","OpenAPI, tRPC, Swagger",3,"$97,000 - $122,000"
jd_0183,Applied Data Scientist,PulseDev Corp,Mid,"Python, SQL, Power BI, DAX, Excel, Statistics, Data Cleaning, Pandas","Interactive Dashboards, Streamlit, Plotly Dash, Bokeh, R Shiny",5,"$93,000 - $119,000"
jd_0184,Backend Engineer,KeystoneAI,Mid,"Python, C++, Algorithm Design, Data Structures, System Design, Linux, Git, Code Review, Unit Testing, Kotlin","Apache Arrow, DuckDB, Go",4,"$97,000 - $122,000"
jd_0185,Cloud Engineer,RiftData Labs,Mid,"AWS, Prometheus, Grafana, ELK Stack, Terraform, Kubernetes, Docker","Dynatrace, OpenTelemetry, Distributed Tracing",4,"$90,000 - $115,000"
jd_0186,Cloud Engineer,Luminary Data Co.,Mid,"AWS, Terraform, Kubernetes, Docker, Linux, Python, CI/CD, Networking","New Relic, Distributed Tracing, Dynatrace, DataDog, OpenTelemetry",4,"$93,000 - $119,000"
jd_0187,Associate Full Stack Engineer,DawnByte Inc.,Junior,"Vue 3, Nuxt, TypeScript, PostgreSQL, Pinia, Docker, Git, REST APIs, Tailwind CSS","Auth0, Payment Integration, Clerk",1,"$60,000 - $80,000"
jd_0188,Senior Research Scientist,MangoSoft,Senior,"Python, SQL, SciPy, Pandas, Matplotlib, Regression Analysis, Statistics, Excel","dbt, Data Quality, ETL, Airflow, Data Engineering",8,"$130,000 - $160,000"
jd_0189,Principal Cloud Engineer,IronForge Tech,Lead,"Kubernetes, Helm, Terraform, AWS, Docker, Linux","Service Discovery, Nomad, Consul",8,"$165,000 - $205,000"
jd_0190,Senior Web Engineer,WaveLogic Labs,Senior,"React, Node.js, Socket.io, MongoDB, Redis, Docker","Infrastructure as Code, GitOps, CI/CD",7,"$140,000 - $170,000"
jd_0191,Associate Data Scientist,PeakSoft Labs,Junior,"Python, SQL, Pandas, Classification, Clustering, Scikit-learn, Statistics, Power BI","Stacking, CatBoost, Ensemble Methods, GBM, LightGBM",2,"$66,000 - $86,000"
jd_0192,SDE II,BluePeak Solutions,Mid,"JavaScript, Node.js, TypeScript, PostgreSQL, REST APIs, Docker, Git, Jest, Hibernate","Terraform, Grafana, AWS, Prometheus",4,"$97,000 - $122,000"
jd_0193,Data Scientist,UpStream Tech,Mid,"Python, SQL, Natural Language Processing, Text Mining, Pandas, Statistics, Jupyter, Git, Classification","Databricks, Spark MLlib, Feature Store, MLflow, Delta Lake",5,"$92,000 - $118,000"
jd_0194,Cloud Engineer I,HorizonTech,Junior,"GCP, Terraform, GKE, Docker, Linux, Python, Networking","Consul, Nomad, Secrets Management, Service Discovery, Vault",1,"$60,000 - $80,000"
jd_0195,Software Engineer (Full Stack),TurboStack,Mid,"React, Node.js, TypeScript, PostgreSQL, REST APIs, Docker, Git, CSS","Storybook, Playwright, Cypress, Accessibility",4,"$92,000 - $118,000"
jd_0196,Junior Cloud Engineer,PeakSoft Labs,Junior,"Azure, Terraform, Azure Functions, Event Grid, Service Bus, Python, Docker, Linux","Kyverno, OPA, Admission Controllers",1,"$62,000 - $82,000"
jd_0197,Senior ML Engineer,MangoSoft,Senior,"Python, Reinforcement Learning, PyTorch, OpenAI Gym, Distributed Training, Linux, Git, MLOps, Whisper","Edge Deployment, Real-time Inference, Go, Kafka",8,"$130,000 - $160,000"
jd_0198,Full Stack Developer,LatticeWorks,Mid,"React, Python, Flask, PostgreSQL, Celery, Docker","Infrastructure as Code, GitOps, Terraform",3,"$100,000 - $125,000"
jd_0199,Staff Cloud Engineer,JupiterCloud,Senior,"AWS, Security Hub, IAM, KMS, Terraform, Kubernetes, Linux, Compliance, CI/CD","Packer, Image Hardening, Golden Images, CIS Benchmarks, AMI",5,"$132,000 - $162,000"
jd_0200,Backend Engineer,Stratus Systems,Mid,"Python, Flask, SQLAlchemy, PostgreSQL, Docker, Git, REST APIs, Pytest","gRPC streaming, Apache Arrow, WebSockets, Go",4,"$100,000 - $125,000"
jd_0201,Senior SRE,Meridian Analytics,Senior,"GCP, Anthos, Terraform, Istio, Kubernetes, Docker, Linux","Kyverno, RBAC, Admission Controllers",6,"$130,000 - $160,000"
jd_0202,Software Engineer,FlowData Corp,Mid,"Swift, iOS SDK, Xcode, REST APIs, Core Data, Git, Unit Testing, Agile, CI/CD","OpenAPI, Azure, A/B Testing, Contract Testing",4,"$93,000 - $119,000"
jd_0203,Senior Full Stack Engineer,SolidOps,Senior,"React, Node.js, GraphQL, MongoDB, Redis, AWS, Docker, Git","Storybook, Performance Optimization, Cypress, Playwright, Accessibility",7,"$128,000 - $158,000"
jd_0204,Platform Engineer,Quantum Dynamics,Mid,"AWS, Cost Optimization, FinOps, Terraform, EC2, RDS, Lambda, Python, CI/CD","Service Discovery, Secrets Management, Consul",5,"$93,000 - $119,000"
jd_0205,Associate Cloud Engineer,IronForge Tech,Junior,"Azure, Terraform, Azure Functions, Event Grid, Service Bus, Python","Crossplane, CRDs, Kubernetes API, Custom Controllers, Operator Pattern",1,"$65,000 - $85,000"
jd_0206,Data Scientist,XcelCloud,Mid,"Python, SQL, Pandas, Matplotlib, Seaborn, Statistics","ETL, Airflow, dbt",4,"$97,000 - $122,000"
jd_0207,Web Application Developer,Nexus Engineering,Mid,"Angular, Spring Boot, Java, MySQL, REST APIs, Docker","State Management, Zustand, React Query, Jotai",4,"$90,000 - $115,000"
jd_0208,Senior ML Engineer,ClearPath AI,Senior,"Python, PyTorch, Computer Vision, OpenCV, CNNs, MLOps, Docker, REST APIs, Scikit-learn","SIMD, Memory Optimization, Latency Reduction, Profiling, C++",7,"$135,000 - $165,000"
jd_0209,Senior ML Engineer,JetStream Analytics,Senior,"Python, Speech Recognition, Whisper, PyTorch, Audio Processing, MLOps, Docker, Git, CLIP","TensorRT, CUDA, C++, Rust, Model Quantization",6,"$132,000 - $162,000"
jd_0210,Chief Data Scientist,ZenithSoft,Lead,"Python, SQL, Pandas, Scikit-learn, Feature Engineering, Statistics, Jupyter","Bokeh, Streamlit, Interactive Dashboards, R Shiny",10,"$165,000 - $205,000"
jd_0211,AI Engineer,EdgeCloud Tech,Mid,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Feature Engineering, SQL, Docker, Redis","Ray Serve, Seldon, Kubernetes, Model Registry, BentoML",3,"$93,000 - $119,000"
jd_0212,Infrastructure Engineer,Velocity Software,Mid,"Multi-Cloud, AWS, Azure, Terraform, Kubernetes, Docker, Linux","Golden Images, Image Hardening, CIS Benchmarks",4,"$97,000 - $122,000"
jd_0213,Senior Full Stack Engineer,OceanTech,Senior,"React, Node.js, TypeScript, DynamoDB, Lambda, AWS","AWS CDK, Infrastructure as Code, CI/CD, GitOps",5,"$132,000 - $162,000"
jd_0214,Research Engineer,HexaData Corp,Mid,"Python, Graph Neural Networks, PyTorch Geometric, NetworkX, Feature Engineering, SQL, Docker","TensorRT, Rust, Model Quantization, CUDA",4,"$100,000 - $125,000"
jd_0215,Platform Engineer,EdgeCloud Tech,Mid,"AWS, ECS, Fargate, Terraform, Docker, Python, CI/CD, Networking, Kubernetes","Kyverno, Policy as Code, Admission Controllers, OPA",3,"$92,000 - $118,000"
jd_0216,Platform Engineer,ClearPath AI,Mid,"AWS, Cost Optimization, FinOps, Terraform, EC2, RDS","Secrets Management, Nomad, Vault, Consul",3,"$95,000 - $120,000"
jd_0217,Staff ML Engineer,GridAxis Solutions,Senior,"Python, Speech Recognition, Whisper, PyTorch, Audio Processing, MLOps, Docker, Git","Edge Deployment, Go, ONNX Runtime, Real-time Inference",6,"$128,000 - $158,000"
jd_0218,Senior Platform Engineer,GigaStack Inc.,Senior,"Kubernetes, Cilium, Service Mesh, Istio, Terraform, AWS, Linux, Python","Kernel Networking, Performance Tuning, eBPF",7,"$128,000 - $158,000"
jd_0219,Full Stack Developer I,GridAxis Solutions,Junior,"Next.js, React, TypeScript, Supabase, PostgreSQL, Docker, Git, Tailwind CSS","CI/CD, Infrastructure as Code, GitOps",1,"$62,000 - $82,000"
jd_0220,Junior Software Engineer,Meridian Analytics,Junior,"Go, Kubernetes, gRPC, Prometheus, PostgreSQL, Linux","Ktor, gRPC, Kotlin",1,"$66,000 - $86,000"
jd_0221,Entry-Level ML Developer,CoreLogic Labs,Junior,"Python, AutoML, NAS, Hyperparameter Tuning, MLflow, Scikit-learn, SQL, Docker, NCCL, Linux","Kubernetes, Ray Serve, BentoML, Seldon, Model Registry",2,"$70,000 - $90,000"
jd_0222,Principal Data Scientist,Synapse AI Labs,Senior,"Python, R, SQL, Statistics, Machine Learning, Scikit-learn","Plotly Dash, Bokeh, Interactive Dashboards, Streamlit",8,"$128,000 - $158,000"
jd_0223,Product Engineer,MeshCloud Inc.,Mid,"React, Ruby on Rails, PostgreSQL, Redis, Sidekiq, Docker, Git, REST APIs","GitOps, AWS CDK, Terraform",4,"$92,000 - $118,000"
jd_0224,Entry-Level Data Scientist,Pixel Craft Studio,Junior,"Python, SQL, Pandas, Scikit-learn, Feature Engineering, Statistics, Jupyter, Tableau, Storytelling","PyMC, Stan, MCMC, Probabilistic Programming",1,"$70,000 - $90,000"
jd_0225,Staff ML Engineer,JupiterCloud,Senior,"Python, PyTorch, Transformers, HuggingFace, MLflow, Kubernetes, Feature Engineering, Git, Redis","R, Probabilistic Programming, Stan, PyMC, Bayesian Inference",7,"$140,000 - $170,000"
jd_0226,Entry-Level Data Scientist,XcelCloud,Junior,"Python, SQL, Anomaly Detection, Time Series, Pandas, Scikit-learn","Bokeh, Streamlit, Interactive Dashboards, Plotly Dash",2,"$66,000 - $86,000"
jd_0227,Principal ML Engineer,WaveLogic Labs,Senior,"Python, TensorFlow, TFX, Vertex AI, BigQuery, MLOps, Feature Engineering, CI/CD, Feature Store, Kubeflow","TPU Programming, Distributed Training, Julia, XLA",7,"$130,000 - $160,000"
jd_0228,Staff Engineer,SolidOps,Senior,"Java, AWS, DynamoDB, Lambda, SQS, Git, REST APIs","Kotlin, gRPC, Ktor, OpenTelemetry, Protocol Buffers",6,"$135,000 - $165,000"
jd_0229,Senior Full Stack Engineer,NeuralPath Inc.,Senior,"Svelte, Node.js, TypeScript, PostgreSQL, REST APIs, Docker, Git","Storybook, Cypress, Performance Optimization",7,"$140,000 - $170,000"
jd_0230,Staff Engineer,GridAxis Solutions,Senior,"Node.js, TypeScript, GraphQL, MongoDB, Redis, Docker, Git, Agile, REST APIs, CMake","DuckDB, gRPC streaming, WebSockets, Apache Arrow",6,"$135,000 - $165,000"
jd_0231,AI Engineer,GridAxis Solutions,Mid,"Python, TensorFlow, TFX, Vertex AI, BigQuery, MLOps, Feature Engineering, CI/CD","Grafana, Evidently, Data Drift, Model Monitoring",5,"$92,000 - $118,000"
jd_0232,Staff Cloud Engineer,Cascade Systems,Senior,"AWS, Security Hub, IAM, KMS, Terraform, Kubernetes, Linux, Compliance, Prometheus","Traffic Management, Load Balancing, Linkerd, Envoy",8,"$140,000 - $170,000"
jd_0233,AI Engineer,Apex Cloud Inc.,Mid,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Feature Engineering, SQL, Docker","TensorRT, C++, Rust, CUDA, Model Quantization",3,"$100,000 - $125,000"
jd_0234,ML Engineer I,PeakSoft Labs,Junior,"Python, Recommendation Systems, Collaborative Filtering, Spark, SQL, MLOps, Docker, Redis","PyMC, Probabilistic Programming, R, Stan",1,"$64,000 - $84,000"
jd_0235,Associate AI Engineer,YottaData Inc.,Junior,"Python, Speech Recognition, Whisper, PyTorch, Audio Processing, MLOps, Docker, Git, PyTorch Geometric","TensorRT, Model Quantization, Rust",2,"$62,000 - $82,000"
jd_0236,Infrastructure Engineer,BluePeak Solutions,Mid,"GCP, BigQuery, Dataflow, Terraform, Python, Kubernetes","Admission Controllers, RBAC, OPA, Kyverno",5,"$92,000 - $118,000"
jd_0237,Staff Engineer,IronForge Tech,Senior,"C++, Multithreading, System Programming, Linux, CMake, Git, Performance Optimization, REST APIs","React, Apache Pulsar, TypeScript, OpenTelemetry, Elasticsearch",7,"$132,000 - $162,000"
jd_0238,Associate Cloud Engineer,Pixel Craft Studio,Junior,"AWS, CDK, EKS, Docker, Linux, Python, CloudFormation, CI/CD, Azure Functions","Vault, Service Discovery, Nomad",0,"$70,000 - $90,000"
jd_0239,Research Engineer,KeystoneAI,Mid,"Python, Time Series, Prophet, LSTM, Pandas, SQL, MLOps, Visualization","Feast, dbt, Great Expectations",3,"$88,000 - $112,000"
jd_0240,Web Application Developer,NovaSky Technologies,Mid,"React, Python, FastAPI, PostgreSQL, Redis, Docker, Git, REST APIs, WebSockets","Sentry, Datadog, Logging",4,"$97,000 - $122,000"
jd_0241,Associate Data Scientist,NeuralPath Inc.,Junior,"Python, SQL, Pandas, Scikit-learn, Feature Engineering, Statistics, Jupyter, Tableau","CatBoost, Stacking, GBM, Ensemble Methods",0,"$64,000 - $84,000"
jd_0242,Principal ML Engineer,Velocity Software,Senior,"Python, Model Serving, TorchServe, ONNX, Triton, Kubernetes, Docker","Rust, C++, Model Quantization, TensorRT, CUDA",7,"$132,000 - $162,000"
jd_0243,ML Tech Lead,Pixel Craft Studio,Lead,"Python, PyTorch, Transformers, HuggingFace, MLflow, Kubernetes","TensorRT, C++, CUDA",8,"$170,000 - $210,000"
jd_0244,Junior ML Engineer,UltraML Corp,Junior,"Python, AutoML, NAS, Hyperparameter Tuning, MLflow, Scikit-learn, SQL, Docker","CUDA, C++, Model Quantization, TensorRT, Rust",2,"$62,000 - $82,000"
jd_0245,Software Developer,ClearPath AI,Mid,"C++, Multithreading, System Programming, Linux, CMake, Git","LiveView, Phoenix, GenServer, Elixir, PubSub",4,"$90,000 - $115,000"
jd_0246,Full Stack Engineer,IronForge Tech,Mid,"React, TypeScript, Remix, Prisma, PostgreSQL, Docker, Git, CSS Modules","Kafka, WebSockets, Real-time, Redis Pub/Sub, Server-Sent Events",4,"$93,000 - $119,000"
jd_0247,Staff ML Engineer,PeakSoft Labs,Senior,"Python, TensorFlow, TFX, Vertex AI, BigQuery, MLOps, Feature Engineering, CI/CD","LlamaIndex, Pinecone, Milvus, Semantic Search, Weaviate",6,"$135,000 - $165,000"
jd_0248,Principal Engineer,KeystoneAI,Senior,"Java, Scala, Apache Kafka, Spark, System Design, Git, REST APIs, JUnit, C++","eBPF, Chaos Engineering, Service Mesh",8,"$132,000 - $162,000"
jd_0249,Lead Analyst,SolidOps,Senior,"Python, SQL, Pandas, NumPy, Looker, Statistics, A/B Testing, Jupyter","MLOps, Model Deployment, Kubernetes, Docker",6,"$128,000 - $158,000"
jd_0250,Associate Cloud Engineer,YottaData Inc.,Junior,"AWS, Prometheus, Grafana, ELK Stack, Terraform, Kubernetes, Docker, Linux","Packer, AMI, Image Hardening, CIS Benchmarks, Golden Images",0,"$65,000 - $85,000"
jd_0251,Product Engineer,BluePeak Solutions,Mid,"Svelte, Node.js, TypeScript, PostgreSQL, REST APIs, Docker, Git","D3.js, Three.js, SVG, Canvas API",4,"$90,000 - $115,000"
jd_0252,Full Stack Engineer,RapidScale Inc.,Mid,"React, Next.js, TypeScript, PostgreSQL, GraphQL, Docker, Git, Tailwind CSS, Redis","Web Workers, GraphQL Federation, Micro Frontends",3,"$95,000 - $120,000"
jd_0253,Junior Software Engineer,FlowData Corp,Junior,"Java, Scala, Apache Kafka, Spark, System Design, Git, REST APIs, JUnit, Python","Kotlin, Protocol Buffers, Ktor, gRPC",1,"$68,000 - $88,000"
jd_0254,Senior DevOps Engineer,EdgeCloud Tech,Senior,"GCP, Terraform, GKE, Docker, Linux, Python","Dynatrace, DataDog, OpenTelemetry",5,"$132,000 - $162,000"
jd_0255,Principal SRE,GigaStack Inc.,Lead,"Azure, Terraform, AKS, Docker, Linux, PowerShell, CI/CD, IaC, CloudFormation","Nginx, Traffic Management, Envoy",8,"$155,000 - $195,000"
jd_0256,Principal Data Scientist,Meridian Analytics,Senior,"Python, SQL, Pandas, NumPy, Looker, Statistics, A/B Testing, Jupyter, Scikit-learn","Dashboard Automation, Tableau Server, Looker, Redash",6,"$138,000 - $168,000"
